n_imp,fullname,des,v_inf,ps_max,ip,range,ts_max,diameter,h,last_obs_jd,ps_cum,id,last_obs
1,(2017 EJ1),2017 EJ1,9.50,-11.06,3.988e-10,2120-2120,0,0.0097,27.71,2457821.5,-11.06,bK17E01J,2017-03-09
2,(2018 HJ2),2018 HJ2,8.39239487851011,-6.90,2.0619e-07,2085-2114,0,0.041,24.58,2458261.5,-6.82,bK18H02J,2018-05-23
1,(2019 HN4),2019 HN4,5.57,-9.38,4.695e-08,2099-2099,0,0.0067,28.52,2458606.5,-9.38,bK19H04N,2019-05-03
2,(2019 QS),2019 QS,21.5892883201622,-6.35,2.72187e-07,2096-2108,0,0.037,24.80,2458723.5,-6.35,bK19Q00S,2019-08-28
7,(2020 FU2),2020 FU2,12.8792532455761,-8.13,9.129119e-07,2092-2115,0,0.00649,28.59,2458932.5,-7.91,bK20F02U,2020-03-24
72,(2020 PC),2020 PC,1.4547902747192,-6.65,3.7154629e-05,2069-2122,0,0.0086,27.98,2459068.5,-6.22,bK20P00C,2020-08-07
27,(2019 UB8),2019 UB8,10.3371070542062,-7.77,4.879089e-06,2053-2118,0,0.0055,28.94,2458784.5,-7.29,bK19U08B,2019-10-28
4,(2019 UN13),2019 UN13,10.179698801331,-10.22,8.942669e-07,2107-2111,0,0.0013,32.12,2458787.5,-9.76,bK19U13N,2019-10-31
34,(2020 DK),2020 DK,10.4503239071627,-6.31,1.565146e-05,2089-2122,0,0.021,26.03,2458900.5,-5.54,bK20D00K,2020-02-21
9,(2021 DG),2021 DG,12.9046360658916,-6.34,0.000169320156,2044-2072,0,0.0031,30.21,2459263.5,-6.15,bK21D00G,2021-02-18
76,(2021 DA2),2021 DA2,6.92146372637218,-6.84,9.6788582e-05,2064-2122,0,0.005,29.16,2459275.5,-6.26,bK21D02A,2021-03-02
2,(2007 VH189),2007 VH189,18.393669527897,-6.97,3.9144e-09,2042-2042,0,0.073,23.32,2454424.5,-6.94,bK07VI9H,2007-11-20
