des,diameter,fullname,h,id,ip,last_obs,last_obs_jd,n_imp,ps_cum,ps_max,range,ts_max,v_inf
2016 JS5,0.0025,(2016 JS5),30.62,bK16J05S,4.525e-08,2016-05-05,2457513.5,1,-10.19,-10.19,2121-2121,0,16.71
2008 EV84,0.029,(2008 EV84),25.35,bK08E84V,7.219e-07,2008-03-12,2454537.5,1,-5.78,-5.78,2041-2041,0,12.92
2017 RN16,0.0052,(2017 RN16),29.06,bK17R16N,5.4256299e-05,2017-09-20,2458016.5,63,-6.51,-6.67,2060-2121,0,8.13510736882366
2022 RD2,0.0066,(2022 RD2),28.56,bK22R02D,0.0009742776,2022-10-23,2459875.5,101,-5.20,-5.81,2080-2124,0,0.41075813505309
2020 GZ1,0.021,(2020 GZ1),26.03,bK20G01Z,8.7477e-08,2020-04-04,2458943.5,2,-6.60,-6.63,2040-2040,0,28.2411813390949
2010 CS19,0.0085,(2010 CS19),28.00,bK10C19S,5.397802e-05,2010-02-20,2455247.5,8,-6.06,-6.11,2104-2116,0,6.81944644134779
2017 TA5,0.012,(2017 TA5),27.22,bK17T05A,7.636124e-06,2017-10-15,2458041.5,16,-6.39,-6.88,2083-2117,0,10.7398283422323
2022 EE3,0.12,(2022 EE3),22.27,bK22E03E,1.273e-08,2022-03-31,2459669.5,1,-6.41,-6.41,2113-2113,0,27.78
2022 FZ3,0.0058,(2022 FZ3),28.83,bK22F03Z,2.97974e-06,2022-04-03,2459672.5,4,-7.14,-7.24,2047-2054,0,8.25505909911603
2020 DO2,0.015,(2020 DO2),26.78,bK20D02O,7.255e-08,2020-02-25,2458904.5,1,-7.75,-7.75,2083-2083,0,22.86
2020 DN3,0.015,(2020 DN3),26.83,bK20D03N,3.317964e-07,2020-03-05,2458913.5,4,-7.54,-7.86,2107-2117,0,13.887182501076
2007 EK,0.0048,(2007 EK),29.26,bK07E00K,3.846e-08,2007-03-13,2454172.5,1,-9.70,-9.70,2093-2093,0,8.33
